Workload,DLmalloc,Talc,FlatTlsf (FFI),FlatTlsf2 (FFI),FreeList (FFI),RLSF,Galloc,Buddy Alloc
TCMALLOC_0,13.428,14.854,10.626,11.697,6.178,13.119,12.683,13.561
TCMALLOC_1,14.997,12.213,8.571,9.960,6.314,12.815,10.907,11.850
TCMALLOC_2,12.761,19.062,14.096,16.648,8.653,19.650,22.199,18.226
TCMALLOC_3,13.353,19.005,10.593,11.874,6.914,17.139,19.069,16.282
TCMALLOC_4,19.155,21.301,12.989,16.183,6.849,18.536,21.379,20.100
TCMALLOC_5,17.504,22.970,11.609,13.201,8.432,19.414,20.145,17.057
TCMALLOC_6,10.706,17.449,11.174,13.485,7.132,15.524,16.702,16.780
TCMALLOC_7,15.664,20.371,12.411,14.861,7.276,17.340,18.593,16.899
TCMALLOC_8,17.611,23.411,14.037,17.956,6.214,20.610,18.180,24.695
TCMALLOC_9,18.551,21.663,13.795,15.357,8.700,20.449,20.314,18.493
